Vegetation Type,,Acidobacteria,Proteobacteria,Actinobacteria,Bacteroidetes,Thaumarchaeota,Chloroflexi,Planctomycetes,Gemmatimonadetes,Firmicutes,Nitrospirae,Euryarchaeota,others,Site,Composition,Phylum,
Temperate Desert,NM25,0.125866667,0.311333333,0.138133333,0.1096,0.0904,0.0712,0.034133333,0.027866667,0.0244,0.0088,0.0012,0.057066667,NM25,0.125866667,Acidobacteria,
Temperate Desert,NM27,0.083466667,0.237733333,0.2072,0.1512,0.038666667,0.066,0.074,0.0632,0.0156,0.006933333,0.017466667,0.038533333,NM27,0.083466667,Acidobacteria,
Temperate Desert,NM29,0.174,0.342666667,0.101333333,0.109866667,0.083066667,0.048266667,0.044133333,0.022133333,0.0128,0.0108,0.003333333,0.0476,NM29,0.174,Acidobacteria,
Temperate Desert,NM57,0.2636,0.221466667,0.151066667,0.064266667,0.045466667,0.073866667,0.038933333,0.0456,0.037066667,0.012533333,0.001333333,0.0448,NM57,0.2636,Acidobacteria,
Temperate Desert,NM59,0.201866667,0.134,0.2124,0.0524,0.129466667,0.065333333,0.028133333,0.0412,0.053333333,0.01,0.002533333,0.069333333,NM59,0.201866667,Acidobacteria,
Temperate Desert,NM75,0.256266667,0.202933333,0.101866667,0.113866667,0.116933333,0.066,0.026266667,0.025333333,0.052933333,0.010666667,0.001866667,0.025066667,NM75,0.256266667,Acidobacteria,
Temperate Desert,NM77,0.2092,0.294266667,0.133733333,0.1104,0.052,0.0592,0.038666667,0.026533333,0.016133333,0.0108,0.0012,0.047866667,NM77,0.2092,Acidobacteria,
,,,,,,,,,,,,,,NM87,0.254,Proteobacteria,
,,,,,,,,,,,,,,NM89,0.2468,Proteobacteria,
,,,,,,,,,,,,,,NM91,0.216666667,Proteobacteria,
,,,,,,,,,,,,,,NM93,0.240933333,Proteobacteria,
,,,,,,,,,,,,,,NM95,0.225733333,Proteobacteria,
,,,,,,,,,,,,,,NM97,0.174266667,Proteobacteria,
,,,,,,,,,,,,,,NM99,0.1928,Proteobacteria,
,,,,,,,,,,,,,,NM101,0.204133333,Proteobacteria,
,,,,,,,,,,,,,,NM103,0.168666667,Proteobacteria,
,,,,,,,,,,,,,,NM105,0.189733333,Proteobacteria,
,,,,,,,,,,,,,,NM107,0.127333333,Proteobacteria,
,,,,,,,,,,,,,,NM109,0.1092,Proteobacteria,
,,,,,,,,,,,,,,NM111,0.1728,Proteobacteria,
,,,,,,,,,,,,,,NM1,0.156533333,Proteobacteria,
,,,,,,,,,,,,,,NM3,0.1572,Proteobacteria,
,,,,,,,,,,,,,,NM5,0.164,Proteobacteria,
,,,,,,,,,,,,,,NM15,0.1316,Proteobacteria,
,,,,,,,,,,,,,,NM19,0.145066667,Proteobacteria,
,,,,,,,,,,,,,,NM23,0.179333333,Proteobacteria,
,,,,,,,,,,,,,,NM31,0.270266667,Proteobacteria,
,,,,,,,,,,,,,,NM33,0.193733333,Proteobacteria,
,,,,,,,,,,,,,,NM35,0.180933333,Proteobacteria,
,,,,,,,,,,,,,,NM37,0.2,Proteobacteria,
,,,,,,,,,,,,,,NM39,0.227333333,Proteobacteria,
,,,,,,,,,,,,,,NM41,0.1712,Proteobacteria,
,,,,,,,,,,,,,,NM43,0.254533333,Proteobacteria,
,,,,,,,,,,,,,,NM45,0.194266667,Proteobacteria,
,,,,,,,,,,,,,,NM47,0.2,Proteobacteria,
,,,,,,,,,,,,,,NM49,0.286533333,Proteobacteria,
,,,,,,,,,,,,,,NM51,0.2584,Proteobacteria,
,,,,,,,,,,,,,,NM53,0.193866667,Proteobacteria,
,,,,,,,,,,,,,,NM55,0.1388,Proteobacteria,
,,,,,,,,,,,,,,NM61,0.203466667,Proteobacteria,
,,,,,,,,,,,,,,NM63,0.200933333,Proteobacteria,
,,,,,,,,,,,,,,NM65,0.146133333,Proteobacteria,
,,,,,,,,,,,,,,NM67,0.174666667,Proteobacteria,
,,,,,,,,,,,,,,NM69,0.188133333,Proteobacteria,
,,,,,,,,,,,,,,NM71,0.224266667,Proteobacteria,
,,,,,,,,,,,,,,NM73,0.2336,Proteobacteria,
,,,,,,,,,,,,,,NM79,0.202533333,Proteobacteria,
,,,,,,,,,,,,,,NM81,0.2544,Proteobacteria,
,,,,,,,,,,,,,,NM83,0.165066667,Proteobacteria,
,,,,,,,,,,,,,,NM85,0.2344,Proteobacteria,
,,,,,,,,,,,,,,NM113,0.222666667,Proteobacteria,
,,,,,,,,,,,,,,NM115,0.301866667,Proteobacteria,
,,,,,,,,,,,,,,NM117,0.211733333,Proteobacteria,
,,,,,,,,,,,,,,NM119,0.274933333,Proteobacteria,
,,,,,,,,,,,,,,NM121,0.19,Proteobacteria,
,,,,,,,,,,,,,,NM123,0.180266667,Proteobacteria,
,,,,,,,,,,,,,,NM125,0.184933333,Proteobacteria,
,,,,,,,,,,,,,,NM127,0.190266667,Proteobacteria,
,,,,,,,,,,,,,,NM129,0.166933333,Proteobacteria,
,,,,,,,,,,,,,,NM7,0.201866667,Proteobacteria,
,,,,,,,,,,,,,,NM9,0.184,Proteobacteria,
,,,,,,,,,,,,,,NM11,0.119866667,Proteobacteria,
,,,,,,,,,,,,,,NM13,0.145733333,Proteobacteria,
,,,,,,,,,,,,,,NM17,0.1668,Proteobacteria,
,,,,,,,,,,,,,,NM21,0.1812,Proteobacteria,
,,,,,,,,,,,,,,NM25,0.311333333,Proteobacteria,
,,,,,,,,,,,,,,NM27,0.237733333,Proteobacteria,
,,,,,,,,,,,,,,NM29,0.342666667,Proteobacteria,
,,,,,,,,,,,,,,NM57,0.221466667,Proteobacteria,
,,,,,,,,,,,,,,NM59,0.134,Proteobacteria,
,,,,,,,,,,,,,,NM75,0.202933333,Proteobacteria,
,,,,,,,,,,,,,,NM77,0.294266667,Proteobacteria,
,,,,,,,,,,,,,,NM87,0.035866667,Actinobacteria,
,,,,,,,,,,,,,,NM89,0.032266667,Actinobacteria,
,,,,,,,,,,,,,,NM91,0.058,Actinobacteria,
,,,,,,,,,,,,,,NM93,0.0632,Actinobacteria,
,,,,,,,,,,,,,,NM95,0.087733333,Actinobacteria,
,,,,,,,,,,,,,,NM97,0.091066667,Actinobacteria,
,,,,,,,,,,,,,,NM99,0.087066667,Actinobacteria,
,,,,,,,,,,,,,,NM101,0.0648,Actinobacteria,
,,,,,,,,,,,,,,NM103,0.070933333,Actinobacteria,
,,,,,,,,,,,,,,NM105,0.079066667,Actinobacteria,
,,,,,,,,,,,,,,NM107,0.086533333,Actinobacteria,
,,,,,,,,,,,,,,NM109,0.075466667,Actinobacteria,
,,,,,,,,,,,,,,NM111,0.1592,Actinobacteria,
,,,,,,,,,,,,,,NM1,0.145733333,Actinobacteria,
,,,,,,,,,,,,,,NM3,0.226666667,Actinobacteria,
,,,,,,,,,,,,,,NM5,0.1944,Actinobacteria,
,,,,,,,,,,,,,,NM15,0.166933333,Actinobacteria,
,,,,,,,,,,,,,,NM19,0.1692,Actinobacteria,
,,,,,,,,,,,,,,NM23,0.160933333,Actinobacteria,
,,,,,,,,,,,,,,NM31,0.131866667,Actinobacteria,
,,,,,,,,,,,,,,NM33,0.156533333,Actinobacteria,
,,,,,,,,,,,,,,NM35,0.206133333,Actinobacteria,
,,,,,,,,,,,,,,NM37,0.160133333,Actinobacteria,
,,,,,,,,,,,,,,NM39,0.2,Actinobacteria,
,,,,,,,,,,,,,,NM41,0.130666667,Actinobacteria,
,,,,,,,,,,,,,,NM43,0.1196,Actinobacteria,
,,,,,,,,,,,,,,NM45,0.1316,Actinobacteria,
,,,,,,,,,,,,,,NM47,0.1564,Actinobacteria,
,,,,,,,,,,,,,,NM49,0.2464,Actinobacteria,
,,,,,,,,,,,,,,NM51,0.208266667,Actinobacteria,
,,,,,,,,,,,,,,NM53,0.144266667,Actinobacteria,
,,,,,,,,,,,,,,NM55,0.173866667,Actinobacteria,
,,,,,,,,,,,,,,NM61,0.060933333,Actinobacteria,
,,,,,,,,,,,,,,NM63,0.078133333,Actinobacteria,
,,,,,,,,,,,,,,NM65,0.093333333,Actinobacteria,
,,,,,,,,,,,,,,NM67,0.107333333,Actinobacteria,
,,,,,,,,,,,,,,NM69,0.089866667,Actinobacteria,
,,,,,,,,,,,,,,NM71,0.1028,Actinobacteria,
,,,,,,,,,,,,,,NM73,0.099866667,Actinobacteria,
,,,,,,,,,,,,,,NM79,0.076533333,Actinobacteria,
,,,,,,,,,,,,,,NM81,0.100533333,Actinobacteria,
,,,,,,,,,,,,,,NM83,0.0656,Actinobacteria,
,,,,,,,,,,,,,,NM85,0.0944,Actinobacteria,
,,,,,,,,,,,,,,NM113,0.119466667,Actinobacteria,
,,,,,,,,,,,,,,NM115,0.0612,Actinobacteria,
,,,,,,,,,,,,,,NM117,0.118266667,Actinobacteria,
,,,,,,,,,,,,,,NM119,0.106933333,Actinobacteria,
,,,,,,,,,,,,,,NM121,0.088933333,Actinobacteria,
,,,,,,,,,,,,,,NM123,0.0524,Actinobacteria,
,,,,,,,,,,,,,,NM125,0.1636,Actinobacteria,
,,,,,,,,,,,,,,NM127,0.128266667,Actinobacteria,
,,,,,,,,,,,,,,NM129,0.180133333,Actinobacteria,
,,,,,,,,,,,,,,NM7,0.164666667,Actinobacteria,
,,,,,,,,,,,,,,NM9,0.192,Actinobacteria,
,,,,,,,,,,,,,,NM11,0.277333333,Actinobacteria,
,,,,,,,,,,,,,,NM13,0.225733333,Actinobacteria,
,,,,,,,,,,,,,,NM17,0.150666667,Actinobacteria,
,,,,,,,,,,,,,,NM21,0.205466667,Actinobacteria,
,,,,,,,,,,,,,,NM25,0.138133333,Actinobacteria,
,,,,,,,,,,,,,,NM27,0.2072,Actinobacteria,
,,,,,,,,,,,,,,NM29,0.101333333,Actinobacteria,
,,,,,,,,,,,,,,NM57,0.151066667,Actinobacteria,
,,,,,,,,,,,,,,NM59,0.2124,Actinobacteria,
,,,,,,,,,,,,,,NM75,0.101866667,Actinobacteria,
,,,,,,,,,,,,,,NM77,0.133733333,Actinobacteria,
,,,,,,,,,,,,,,NM87,0.146533333,Bacteroidetes,
,,,,,,,,,,,,,,NM89,0.102266667,Bacteroidetes,
,,,,,,,,,,,,,,NM91,0.0972,Bacteroidetes,
,,,,,,,,,,,,,,NM93,0.128,Bacteroidetes,
,,,,,,,,,,,,,,NM95,0.1028,Bacteroidetes,
,,,,,,,,,,,,,,NM97,0.104,Bacteroidetes,
,,,,,,,,,,,,,,NM99,0.051066667,Bacteroidetes,
,,,,,,,,,,,,,,NM101,0.0928,Bacteroidetes,
,,,,,,,,,,,,,,NM103,0.128133333,Bacteroidetes,
,,,,,,,,,,,,,,NM105,0.078666667,Bacteroidetes,
